artist_name,artist_mbid,title,release,year,duration,key,key_confidence,loudness,mode,mode_confidence,tempo,time_signature,time_signature_confidence,energy,danceability,artist_familiarity,artist_hotttnesss,song_hotttnesss,artist_id,song_id,track_id,name,gender,country,type,tags,genre_principal,begin_date,end_date,area,mbid_ok,mbid_status
Raphaël,c43bb0d6-94d7-410f-80fb-e5a243b18d23,Je Sais Que La Terre Est Plate,Je Sais Que La Terre Est Plate (Deluxe),2008,148.74077,0,0.591,-9.636,1,0.556,124.059,4,0.372,0.0,0.0,0.5574602197393447,0.3861516314132549,0.5479529419800353,AREJXK41187B9A4ACC,SOGSMXL12A81C23D88,,Raphaël,Male,FR,Person,"pop, singer-songwriter",Pop,1975-11-07,,France,True,ok
Julie Zenatti,a69cd724-2f57-4ed0-bfed-ba20401eb84c,On Efface,Comme Vous,2004,252.99546,1,0.429,-11.061,0,0.67,80.084,4,0.533,0.0,0.0,0.6269577230052118,0.43485958934341257,0.47563846801023907,AR2XRFQ1187FB417FE,SOMBCOW12AAF3B229F,,Julie Zenatti,Female,FR,Person,french,,1981-02-05,,France,True,ok
The Baltimore Consort,60bd8a1c-c093-4849-8f28-08101ca059b1,Howells Delight,Watkins Ale -  Music of the English Renaissance,0,78.0273,3,0.0,-24.14,1,0.0,54.874,4,0.0,0.0,0.0,0.42572365804650586,0.0,,ARODOO01187FB44F4A,SOEYIHF12AB017B5F4,,The Baltimore Consort,,,Group,renaissance,,1980,,,True,ok
I Hate Sally,44b5b950-2ae2-403a-8c67-82d8fc72033d,Martha Served,Don't Worry Lady,2007,163.63057,7,0.38,-5.795,1,0.385,77.15,3,0.369,0.0,0.0,0.6114954183523941,0.3345197638116389,,ARJGW911187FB586CA,SODJYEC12A8C13D757,,I Hate Sally,,CA,Group,,,2000,2008-07,Canada,True,ok
Orlando Pops Orchestra,0e6524bd-6641-46a6-bce5-96f06c19aa46,Zip-A-Dee-Doo-Dah (Song of the South),Easy Listening: Cartoon Songs,0,199.99302,10,0.551,-16.477,1,0.528,120.382,4,1.0,0.0,0.0,0.3672550107574772,0.3116155449734521,,AR9HQ6Y1187FB3C2CB,SOGSOUE12A58A76443,,Orlando Philharmonic Orchestra,,US,Orchestra,,,1993,,Orlando,True,ok
Brand X,097c86bc-b2b6-4791-833b-39b5385fe3e6,Liquid Time (composition by John Goodsall),X Communication : Trilogy II,0,279.35302,9,0.519,-12.474,1,0.491,99.024,4,1.0,0.0,0.0,0.6013057514861917,0.3636756770511417,0.4454545254934259,ARDPTGD1187B9AD361,SOVVDCO12AB0187AF7,,Brand X,,GB,Group,"jazz fusion, jazz rock, jazz-rock",Jazz,1976,,United Kingdom,True,ok
Amorphis,efaefde1-e09b-4d49-9d8e-b1304d2ece8d,Misery Path (From the Privilege of Evil),Karelian Isthmus,0,255.03302,9,0.447,-4.393,1,0.247,175.673,4,0.0,0.0,0.0,0.7090105251029095,0.5535661720707804,0.3277366831778408,ARV8T9T1187B99F3F4,SOKSZVC12A8C142004,,Amorphis,,FI,Group,"death metal, death-doom metal, finland, finnish, folk metal, melodic death metal, metal, progressive metal, symphonic metal",Rock,1990,,Finland,True,ok
Inoki,de885e5b-284d-4dac-954c-48c7d7e2ebe5,Nuovi Re pt. I I (feat. Tek money - Lady Tambler),Nobiltà di strada,0,259.3171,1,0.194,-5.05,1,0.436,87.999,4,0.954,0.0,0.0,0.5480223990659485,0.44013471201542936,,ARJ5BEW1187FB52361,SORWTIF12A6D4FAA41,,Inoki,Male,IT,Person,,,1979-10-02,,Italy,True,ok
Dead Kennedys,37c78aeb-d196-42b5-b991-6afb4fc9bc2e,Halloween,Milking The Sacred Cow,1982,216.842,10,0.325,-4.264,1,0.286,92.897,4,0.879,0.0,0.0,0.737037558041999,0.5392454183492504,0.7883881833222074,AR050VJ1187B9B13A7,SOZQSGL12AF72A9145,,Dead Kennedys,,US,Group,"80 s punk, hardcore, hardcore punk, jello biafra, punk, punk rock, rock and indie",Rock,1978-06,1986-02-21,United States,True,ok
Brigada Victor Jara,050ce7ea-0935-430f-bcec-b83e702298eb,Parto em terras distantes,Novas Vos Trago,1998,312.99873,4,0.669,-13.885,0,0.638,86.981,5,0.688,0.0,0.0,0.4359154566223205,0.3581485188029746,,AR8KUS11187B98C991,SOKRHNY12AB01837DB,,Brigada Víctor Jara,,PT,Group,,,1975,,Portugal,True,ok
Atreyu,17e137fb-59e5-4fd7-af48-afc34995396c,You Eclipsed By Me (Album Version),The Curse,2004,218.90567,0,0.588,-4.707,0,0.584,157.715,4,0.691,0.0,0.0,0.8218442551240023,0.5924394855278091,0.6810920295819312,ARMOHN71187FB3959F,SOBTEHX12A6D4FBF18,,Atreyu,,US,Group,"alternative metal, metal, metalcore, rock",Rock,1998,,United States,True,ok
Mistress,e8143d56-f2e9-4122-9666-6aa5352dadcd,Shovel,In Disgust We Trust,2005,580.70159,0,0.821,-4.523,1,0.587,146.331,4,0.479,0.0,0.0,0.49579693213505177,0.3894988174170211,0.40148671142756037,ARQ0HOT1187B9A25FA,SOXGDVW12AB01864E7,,Mistress,,GB,Group,,,1999,2008,United Kingdom,True,ok
Shadows Fall,2e3b75d8-00a8-486a-b4e7-a1f8f65e64c9,What Drives The Weak,The War Within,2004,283.48036,0,0.489,-4.076,0,0.596,84.992,4,0.42,0.0,0.0,0.733433226583055,0.455558796992588,0.6878737149731753,ARK8OHG1187B99016A,SOKMPKV12A67AE241B,,Shadows Fall,,US,Group,"melodic death metal, metal, metalcore",Rock,1995,,United States,True,ok
Vanessa Daou,17be2a06-5295-43ca-a363-c683b562df72,Life Force,Joe Sent Me,0,229.66812,2,0.162,-19.293,1,0.483,79.96,3,0.269,0.0,0.0,0.5708253226408206,0.40358823765010066,0.26695518627553855,ARZFRQM1187B9A9772,SOMVPGP12AB01881FF,,Vanessa Daou,Female,US,Person,"acid jazz, nu jazz, trip hop",Jazz,1967-10-04,,United States,True,ok
Dave Brockie Experience,99f0e05e-e63e-4b48-a0a7-039ad3f9fc3d,The Dance Of Europe,Diarrhea Of A Madman,2001,135.8624,1,0.387,-3.312,0,0.418,99.959,5,0.902,0.0,0.0,0.4843337579660785,0.33593551225154833,0.3552855364230894,ARQFKVO1187B9B1777,SOGXENE12AB01854EB,,Dave Brockie Experience,,US,Group,,,1999,,United States,True,ok
